image_ssd,label_binary_dice,label_tre,pair_index,label_index
0.0001088194185285829,,,"[10, 5, 10, 0]",-1
4.565749259199947e-05,,,"[20, 2, 20, 1]",-1
5.469525058288127e-05,,,"[18, 0, 18, 1]",-1
0.00018338035442866385,,,"[6, 4, 6, 1]",-1
4.063344749738462e-05,,,"[0, 1, 0, 0]",-1
2.9750917747151107e-05,,,"[19, 1, 19, 0]",-1
1.5812234778422862e-05,,,"[11, 0, 11, 1]",-1
3.704632035805844e-05,,,"[2, 1, 2, 0]",-1
0.0008291744161397219,,,"[3, 5, 3, 3]",-1
7.345631274802145e-06,,,"[9, 0, 9, 1]",-1
4.3650667066685855e-05,,,"[5, 1, 5, 4]",-1
6.816149834776297e-05,,,"[7, 0, 7, 1]",-1
3.3996951970038936e-05,,,"[4, 2, 4, 4]",-1
1.7347010725643486e-05,,,"[17, 1, 17, 0]",-1
3.280350938439369e-05,,,"[14, 1, 14, 0]",-1
3.5365261283004656e-05,,,"[21, 2, 21, 0]",-1
2.1069137801532634e-05,,,"[15, 1, 15, 0]",-1
4.063344749738462e-05,,,"[16, 1, 16, 0]",-1
3.1479539757128805e-05,,,"[8, 2, 8, 0]",-1
1.4733275747857988e-05,,,"[1, 0, 1, 1]",-1
2.3418535420205444e-05,,,"[13, 1, 13, 0]",-1
3.667674900498241e-05,,,"[12, 0, 12, 1]",-1
